,A_MARITL,A_SEX,A_HGA,A_AGE,PEAFEVER,PEARNVAL
0,1,2,39,56,2,0
1,1,1,39,57,2,10000
2,4,2,39,78,2,0
3,1,2,43,65,2,43000
4,1,1,39,66,2,33000
5,7,1,43,28,2,25000
6,4,1,39,72,1,0
7,7,1,35,46,2,0
8,7,2,0,11,-1,0
9,5,2,39,48,2,60000
10,5,2,42,85,2,0
11,4,2,33,85,2,0
12,7,1,39,28,2,54700
13,5,1,39,70,2,0
14,4,2,42,79,2,0
15,7,2,41,49,2,44999
16,7,1,39,20,2,60000
17,7,1,43,30,2,45000
18,1,2,43,51,2,45000
19,1,1,39,58,2,50000
20,7,2,39,19,2,2000
21,4,1,39,66,2,0
22,1,2,42,30,2,45000
23,1,1,39,44,2,70000
24,7,2,0,12,-1,0
25,7,2,0,5,-1,0
26,7,1,0,3,-1,0
27,5,1,44,66,2,0
28,4,2,34,64,2,25000
29,3,2,40,44,2,0
30,7,1,0,14,-1,0
31,1,2,39,78,2,0
32,1,1,39,79,2,25000
33,7,2,42,72,2,70000
34,7,1,41,41,2,45000
35,1,2,39,57,2,19000
36,1,1,39,60,2,7000
37,7,1,43,31,2,15000
38,1,1,41,68,2,0
39,1,2,40,65,2,30000
40,7,2,39,36,2,0
41,5,1,39,61,2,30000
42,5,2,43,56,2,38000
43,1,2,41,34,2,46000
44,1,1,40,40,2,42000
45,7,2,0,10,-1,0
46,7,1,0,8,-1,0
47,1,2,44,46,2,58800
48,1,1,39,48,2,51000
49,7,1,0,8,-1,0
50,1,1,44,79,1,0
51,1,2,43,59,1,53000
52,7,2,0,14,-1,0
53,4,2,39,49,2,7000
54,7,2,36,16,-1,0
55,7,2,43,61,2,0
56,7,2,0,14,-1,0
57,5,2,46,67,2,0
58,5,1,40,45,2,4820
59,7,2,44,69,2,0
60,1,1,43,36,2,25000
61,1,2,40,29,2,25000
62,7,2,40,28,2,42000
63,5,1,39,31,2,88000
64,1,2,39,69,2,0
65,1,1,39,73,1,2000
66,7,1,40,41,2,0
67,1,1,41,80,2,0
68,1,2,41,80,2,0
69,7,1,43,34,2,45000
70,7,1,43,29,2,52200
71,1,1,39,80,2,0
72,1,2,39,80,2,0
73,5,1,40,68,1,60000
74,1,1,44,79,2,0
75,1,2,44,74,2,0
76,1,1,40,65,2,89000
77,1,2,40,63,2,25000
78,1,2,43,67,2,10000
79,1,1,43,69,2,75000
80,5,2,39,54,2,5000
81,7,2,37,17,2,6000
82,7,1,0,11,-1,0
83,3,2,39,20,2,28000
84,7,2,0,0,-1,0
85,7,1,39,37,2,40000
86,7,1,0,5,-1,0
87,5,1,40,80,1,0
88,4,2,40,78,2,3500
89,5,2,43,44,2,26100
90,7,2,0,14,-1,0
91,7,1,0,10,-1,0
92,7,1,46,74,1,0
93,7,2,40,73,1,0
94,1,2,43,75,2,0
95,1,1,44,74,2,0
96,4,2,39,78,2,20000
97,7,2,43,40,2,36000
98,7,1,39,40,2,46000
99,6,1,42,40,2,285000
100,7,2,36,17,2,0
101,7,1,0,8,-1,0
102,7,1,0,6,-1,0
103,7,2,0,4,-1,0
104,5,2,42,59,2,0
105,1,1,39,70,2,0
106,1,2,39,74,2,0
107,1,2,43,38,2,15000
108,1,1,45,39,2,50000
109,7,2,0,2,-1,0
110,7,1,0,0,-1,0
111,5,1,40,66,2,50000
112,7,1,39,28,2,750
113,1,1,43,36,2,65000
114,1,2,43,37,2,60000
115,7,1,0,3,-1,0
116,7,1,0,0,-1,0
117,4,2,39,52,2,43000
118,7,1,0,13,-1,0
119,7,2,0,11,-1,0
120,7,2,0,4,-1,0
121,1,1,41,40,2,30000
122,1,2,42,45,2,56000
123,7,2,0,12,-1,0
124,7,2,0,11,-1,0
125,1,1,40,53,2,44000
126,1,2,43,37,2,42000
127,7,1,36,17,2,4000
128,1,2,42,50,2,0
129,1,1,41,65,2,25000
130,7,2,36,16,-1,0
131,1,2,40,71,2,0
132,1,1,39,65,2,46001
133,1,1,40,45,2,58800
134,1,2,40,42,2,20000
135,7,1,37,18,2,10000
136,7,1,35,16,-1,0
137,7,1,0,11,-1,0
138,1,1,40,30,2,150000
139,1,2,40,32,2,12000
140,7,1,0,7,-1,0
141,7,2,0,7,-1,0
142,7,1,0,0,-1,0
143,4,2,43,80,2,0
144,1,2,43,47,2,57200
145,1,1,39,55,2,38000
146,7,2,0,14,-1,0
147,7,2,0,9,-1,0
148,5,2,41,67,2,40000
149,7,1,41,66,2,36000
150,1,2,40,66,1,0
151,1,1,39,55,2,14000
152,1,2,43,43,2,32000
153,1,1,39,49,2,92000
154,7,1,36,16,-1,11000
155,5,1,40,72,1,0
156,7,1,43,63,2,0
157,1,2,44,67,2,0
158,1,1,44,64,1,1500
159,1,1,43,78,2,20000
160,1,2,40,32,2,0
161,1,2,39,51,2,46000
162,1,1,39,52,2,5000
163,5,1,39,62,2,0
164,5,1,41,70,1,0
165,5,2,39,40,2,31000
166,7,1,36,15,-1,-100
167,1,1,43,49,2,25178
168,1,2,42,50,2,28485
169,7,2,0,6,-1,0
170,1,2,43,39,2,37000
171,1,1,43,40,2,62000
172,7,2,0,11,-1,0
173,7,2,0,8,-1,0
174,5,2,39,73,2,0
175,4,1,43,75,1,0
176,4,2,40,85,2,0
177,1,1,39,62,2,25000
178,1,2,39,61,2,32000
179,1,2,43,61,2,36701
180,1,1,39,63,1,17200
181,1,2,43,57,2,120000
182,1,1,39,63,2,68002
183,7,2,43,33,2,16000
184,7,1,0,10,-1,0
185,7,2,0,5,-1,0
186,7,1,43,36,2,45000
187,5,1,43,72,2,10000
188,1,1,39,69,1,0
189,1,2,39,68,2,0
190,1,2,43,37,2,75000
191,1,1,44,39,2,50000
192,7,2,44,37,2,210002
193,7,1,37,26,2,0
194,7,2,0,10,-1,0
195,7,2,0,5,-1,0
196,7,2,0,2,-1,0
197,7,2,39,29,2,8000
198,6,1,39,80,2,81000
199,1,1,43,64,2,27001
200,1,2,39,61,2,20000
201,1,2,44,35,2,48000
202,1,1,36,38,2,-2000
203,7,2,40,19,2,4000
204,1,1,39,69,2,0
205,1,2,39,68,2,25000
206,7,2,39,29,2,0
207,7,1,0,9,-1,0
208,7,2,0,5,-1,0
209,1,1,40,68,2,30000
210,1,2,44,59,2,10000
211,1,2,43,42,2,42000
212,1,1,39,52,2,110000
213,7,1,40,20,2,110000
214,7,1,0,14,-1,0
215,7,2,0,10,-1,0
216,7,2,43,71,2,30000
217,7,1,39,51,2,40002
218,7,2,39,43,2,0
219,7,1,0,8,-1,0
220,7,2,40,36,2,36000
221,7,1,37,17,2,2500
222,7,1,35,16,-1,0
223,7,1,0,13,-1,0
224,5,1,39,39,2,40000
225,1,2,39,41,2,0
226,1,1,39,33,2,40000
227,7,2,0,5,-1,0
228,7,1,0,1,-1,0
229,7,1,40,37,1,34000
230,7,1,0,5,-1,0
231,7,2,39,36,2,7500
232,7,2,40,54,2,58000
233,7,2,0,13,-1,0
234,7,2,40,33,2,35000
235,7,2,0,7,-1,0
236,7,2,0,2,-1,0
237,7,1,40,35,2,20000
238,7,1,39,20,2,13000
239,7,2,0,14,-1,0
240,1,1,39,59,2,30000
241,1,2,40,58,2,5000
242,7,2,39,57,2,43776
243,7,2,42,65,2,57600
244,1,1,40,67,1,0
245,1,2,40,75,2,0
246,5,1,39,47,2,0
247,1,1,39,60,2,162000
248,1,2,40,60,2,0
249,7,2,43,65,2,3300
250,7,1,39,55,2,20000
251,1,1,41,63,2,0
252,1,2,39,60,2,18500
253,5,2,39,65,2,28000
254,1,1,40,65,1,25000
255,1,2,39,59,2,0
256,5,1,41,44,2,40000
257,7,2,37,40,2,0
258,7,2,36,40,2,4800
259,4,2,37,66,2,0
260,5,1,34,80,1,0
261,4,2,39,85,2,0
262,7,1,39,50,2,50000
263,5,2,42,49,2,45000
264,7,2,39,29,2,10000
265,7,2,0,5,-1,0
266,7,1,0,4,-1,0
267,7,1,37,33,2,0
268,1,1,39,47,1,0
269,1,2,43,54,2,27000
270,7,1,40,19,2,6000
271,7,2,37,17,2,3500
272,1,2,43,34,2,9200
273,1,1,40,30,1,0
274,7,2,34,15,-1,0
275,7,2,0,10,-1,0
276,7,1,0,7,-1,0
277,5,1,39,32,2,60000
278,5,1,40,60,1,0
279,5,2,39,57,2,0
280,5,1,39,71,2,0
281,5,1,40,72,1,0
282,3,2,39,74,2,0
283,5,2,39,70,2,0
284,1,2,42,40,2,45000
285,1,1,39,40,2,60000
286,3,2,40,27,2,42000
287,7,2,0,3,-1,0
288,3,1,41,29,2,0
289,4,2,39,70,2,0
290,5,2,40,46,2,48000
291,4,2,40,72,2,0
292,3,1,36,78,2,0
293,1,2,46,61,2,40000
294,1,1,46,62,2,250000
295,1,1,43,61,2,100000
296,1,2,43,60,2,0
297,1,2,39,66,2,19000
298,1,1,35,78,2,0
299,5,2,40,59,2,51000
300,5,1,39,62,2,47500
301,4,2,40,80,2,0
302,1,1,43,60,2,39000
303,1,2,41,59,2,6000
304,7,1,40,70,1,0
305,7,2,40,20,2,13900
306,5,2,40,46,2,25958
307,1,1,39,62,2,30000
308,1,2,39,61,2,28000
309,7,1,39,29,2,23620
310,5,1,40,37,2,0
311,7,2,0,2,-1,0
312,7,2,40,33,2,35000
313,1,1,39,30,2,0
314,1,2,42,29,2,7500
315,7,1,0,11,-1,0
316,7,1,0,9,-1,0
317,7,1,0,6,-1,0
318,7,1,0,3,-1,0
319,7,2,0,0,-1,0
320,5,2,39,62,2,0
321,5,1,39,67,2,67000
322,7,2,35,52,2,36400
323,5,1,40,62,1,68000
324,5,2,39,40,2,33000
325,7,2,0,14,-1,0
326,4,2,39,47,2,32000
327,7,1,37,17,2,0
328,4,2,35,75,2,0
329,5,2,40,46,2,500
330,7,1,34,15,-1,0
331,7,1,0,11,-1,0
332,1,1,39,45,2,55000
333,1,2,43,32,2,44000
334,7,1,0,7,-1,0
335,7,1,0,2,-1,0
336,1,1,43,31,2,90000
337,1,2,43,30,2,14900
338,7,2,0,3,-1,0
339,7,2,0,0,-1,0
340,7,1,40,59,1,52000
341,5,2,39,77,2,23000
342,7,1,39,27,2,0
343,7,1,39,38,2,0
344,5,2,39,71,2,0
345,1,2,37,63,2,0
346,1,1,36,66,2,0
347,5,1,37,67,2,0
348,7,1,35,40,2,0
349,7,1,34,15,-1,0
350,7,2,43,35,2,18000
351,7,2,0,9,-1,0
352,7,1,43,53,2,32000
353,4,2,39,80,2,0
354,5,1,43,74,1,0
355,5,2,39,66,2,0
356,5,2,39,78,2,0
357,7,1,40,21,2,3500
358,1,1,39,60,2,5844
359,1,2,39,57,2,12000
360,7,2,39,25,2,1700
361,7,1,40,36,2,28800
362,7,1,0,5,-1,0
363,7,2,0,2,-1,0
364,7,2,42,38,2,33000
365,7,1,39,39,2,33500
366,7,1,39,55,2,45000
367,7,2,39,38,2,0
368,7,2,34,16,-1,0
369,7,2,0,11,-1,0
370,5,2,39,85,2,0
371,1,1,44,38,2,140000
372,1,2,44,37,2,0
373,7,1,0,7,-1,0
374,7,1,0,6,-1,0
375,1,1,41,72,1,0
376,1,2,40,71,2,0
377,5,2,42,63,2,32000
378,1,2,39,32,2,0
